"","StdntCollege","AdmitType","HeadCount","Arts and Humanities","Business and Economics","Education","Science & Technology","Social Sciences","University-wide"
"1","Academic Affairs","1",309.285714285714,63.8571428571429,14.2857142857143,2.42857142857143,74.1428571428571,62.1428571428571,7.71428571428571
"2","Academic Affairs","3",0.857142857142857,0.142857142857143,0,0,0.285714285714286,0.142857142857143,0
"3","Academic Affairs","4",10.2857142857143,2.14285714285714,0.142857142857143,0,1.57142857142857,2.28571428571429,0
"4","Academic Affairs","5",201.714285714286,61.8571428571429,6.57142857142857,1.42857142857143,61.1428571428571,23,14.1428571428571
"5","ARTS & HUMANITIES","1",1379,481.285714285714,18.5714285714286,40.1428571428571,145.571428571429,162.857142857143,29.8571428571429
"6","ARTS & HUMANITIES","2",0.857142857142857,0.285714285714286,0,0,0,0,0
"7","ARTS & HUMANITIES","3",6.42857142857143,1.57142857142857,0,0.285714285714286,0.285714285714286,0.285714285714286,0
"8","ARTS & HUMANITIES","4",117.714285714286,34.7142857142857,0.571428571428571,4.57142857142857,8.14285714285714,10.2857142857143,0
"9","ARTS & HUMANITIES","5",184.285714285714,87.2857142857143,3,2.28571428571429,44.8571428571429,14.8571428571429,7.85714285714286
"10","ARTS & HUMANITIES","6",0.571428571428571,0.142857142857143,0,0,0,0,0
"11","BUSINESS & ECONOMICS","1",1347.71428571429,144.142857142857,331.714285714286,8.14285714285714,129.428571428571,124.428571428571,18.2857142857143
"12","BUSINESS & ECONOMICS","2",0.285714285714286,0,0.142857142857143,0,0,0,0
"13","BUSINESS & ECONOMICS","3",5.71428571428571,0.428571428571429,1.28571428571429,0.142857142857143,0.285714285714286,0.571428571428571,0
"14","BUSINESS & ECONOMICS","4",132.142857142857,11.2857142857143,31.4285714285714,2.42857142857143,10.8571428571429,16.5714285714286,0
"15","BUSINESS & ECONOMICS","5",153.571428571429,40.8571428571429,28.4285714285714,0.142857142857143,41.2857142857143,7.42857142857143,11.1428571428571
"16","BUSINESS & ECONOMICS","6",0.571428571428571,0,0.142857142857143,0,0,0,0
"17","EDUCATION","1",352.857142857143,47.7142857142857,2.57142857142857,103.285714285714,37.1428571428571,51.7142857142857,5.57142857142857
"18","EDUCATION","3",1.14285714285714,0.142857142857143,0,0.285714285714286,0,0.142857142857143,0
"19","EDUCATION","4",26.2857142857143,2.14285714285714,0.142857142857143,10.2857142857143,1,2,0
"20","EDUCATION","5",46.4285714285714,14.4285714285714,0.714285714285714,2,12.7142857142857,5.14285714285714,3.71428571428571
"21","EDUCATION","6",0.285714285714286,0.142857142857143,0,0,0,0,0
"22","SCIENCE & TECHNOLOGY","1",1464.28571428571,158.714285714286,20.1428571428571,8,638.857142857143,163.571428571429,21.1428571428571
"23","SCIENCE & TECHNOLOGY","2",0.428571428571429,0,0,0,0.142857142857143,0,0
"24","SCIENCE & TECHNOLOGY","3",5.14285714285714,0.428571428571429,0,0,2,0.428571428571429,0
"25","SCIENCE & TECHNOLOGY","4",105,5.85714285714286,0.428571428571429,1.42857142857143,48.1428571428571,8.71428571428571,0.142857142857143
"26","SCIENCE & TECHNOLOGY","5",245.714285714286,61.7142857142857,4.71428571428571,0.142857142857143,111.142857142857,17.5714285714286,13.8571428571429
"27","SOCIAL SCIENCES","1",2062,249.714285714286,29.1428571428571,30.5714285714286,213.857142857143,677.857142857143,40.8571428571429
"28","SOCIAL SCIENCES","2",0.857142857142857,0,0.142857142857143,0,0,0.285714285714286,0
"29","SOCIAL SCIENCES","3",9,0.571428571428571,0,0.142857142857143,0.285714285714286,2.71428571428571,0
"30","SOCIAL SCIENCES","4",220,14.1428571428571,1.85714285714286,3.71428571428571,10.7142857142857,77.4285714285714,0.285714285714286
"31","SOCIAL SCIENCES","5",221.285714285714,63,4.14285714285714,1.85714285714286,61.4285714285714,36.8571428571429,16.7142857142857
"32","SOCIAL SCIENCES","6",0.285714285714286,0,0,0,0,0.142857142857143,0
"33","UNIVERSITY-WIDE","1",13.2857142857143,3,0.571428571428571,0,1.42857142857143,2.42857142857143,2
"34","UNIVERSITY-WIDE","4",0.142857142857143,0,0,0,0,0,0
"35","UNIVERSITY-WIDE","5",0.428571428571429,0.142857142857143,0,0,0.142857142857143,0,0
