"ID","Career","CrseCollege","UnitTakenPrgrssSixth"
"000006760","PBAC","Education","1.00"
"000008788","PBAC","Extended Education","3.33"
"000015509","UGRD","Arts and Humanities","4.00"
"000018044","PBAC","Business and Economics","2.33"
"000024466","PBAC","Education","1.50"
"000027222","PBAC","Extended Education","6.66"
"000028093","PBAC","Education","3.00"
"000030979","PBAC","Social Sciences","1.66"
"000031512","PBAC","Social Sciences","0.66"
"000031668","PBAC","Business and Economics","1.83"
"000033137","PBAC","Education","2.00"
"000034333","PBAC","Extended Education","3.83"
"000034489","PBAC","Education","7.16"
"000036569","PBAC","Extended Education","1.33"
"000037518","PBAC","Arts and Humanities","2.66"
"000063016","PBAC","Arts and Humanities","1.00"
"000063601","PBAC","Education","0.50"
"000063835","PBAC","Education","1.00"
"000072584","PBAC","Education","5.83"
"000073234","PBAC","Science & Technology","7.66"
"000075457","PBAC","Education","6.16"
"000077927","PBAC","Education","1.00"
"000080319","PBAC","Extended Education","5.00"
"000080319","PBAC","Social Sciences","1.00"
"000083101","PBAC","Education","6.00"
"000083179","PBAC","Education","1.00"
"000085363","PBAC","Social Sciences","7.66"
"000087469","PBAC","Education","4.00"
"000088132","PBAC","Science & Technology","0.66"
"000092266","PBAC","Extended Education","0.83"
"000092266","PBAC","Social Sciences","0.50"
"000092734","PBAC","Education","2.66"
"000095178","PBAC","Science & Technology","2.66"
"000107632","PBAC","Arts and Humanities","0.66"
"000110050","PBAC","Science & Technology","4.50"
"000115484","PBAC","Extended Education","0.10"
"000116524","PBAC","Education","3.50"
"000116862","UGRD","Arts and Humanities","1.00"
"000116862","UGRD","Business and Economics","2.00"
"000116862","UGRD","Science & Technology","0.50"
"000116862","UGRD","Social Sciences","0.66"
"000120840","PBAC","Science & Technology","0.16"
"000120840","PBAC","Social Sciences","5.33"
"000122491","PBAC","Education","4.66"
"000122491","PBAC","Science & Technology","1.66"
"000124363","PBAC","Education","0.66"
"000124363","PBAC","Extended Education","0.66"
"000124376","UGRD","Arts and Humanities","1.33"
"000124376","UGRD","Science & Technology","0.66"
"000124376","UGRD","Social Sciences","0.66"
"000126235","PBAC","Extended Education","1.00"
"000127392","UGRD","Business and Economics","4.00"
"000130525","PBAC","Social Sciences","0.66"
"000130590","PBAC","Education","6.00"
"000131461","PBAC","Science & Technology","1.33"
"000133684","PBAC","Arts and Humanities","1.66"
"000133944","PBAC","Education","3.00"
"000134204","PBAC","Education","2.50"
"000134581","PBAC","Extended Education","0.16"
"000136050","UGRD","Social Sciences","3.33"
"000137649","PBAC","Extended Education","1.33"
"000139807","PBAC","Education","3.00"
"000146385","UGRD","Arts and Humanities","0.50"
"000147217","PBAC","Education","6.00"
"000147334","UGRD","Extended Education","5.00"
"000148803","PBAC","Science & Technology","2.50"
"000150155","PBAC","Business and Economics","4.16"
"000151481","PBAC","Education","4.83"
"000152469","PBAC","Business and Economics","2.33"
"000152807","UGRD","Extended Education","1.66"
"000153314","UGRD","Arts and Humanities","4.83"
"000155511","PBAC","Education","2.00"
"000158527","PBAC","Extended Education","1.66"
"000159463","PBAC","Education","3.16"
"000159983","PBAC","Extended Education","2.00"
"000160776","PBAC","Education","0.50"
"000161595","PBAC","Education","5.83"
"000163233","PBAC","Science & Technology","6.50"
"000168316","PBAC","Arts and Humanities","0.66"
"000168316","PBAC","Education","7.50"
"000168316","PBAC","Science & Technology","0.83"
"000169278","PBAC","Education","1.00"
"000170279","UGRD","Arts and Humanities","0.66"
"000170279","UGRD","Business and Economics","0.66"
"000170279","UGRD","Social Sciences","0.50"
"000170500","PBAC","Education","1.50"
"000172983","PBAC","Education","3.50"
"000174218","PBAC","Education","4.50"
"000174517","PBAC","Extended Education","0.66"
"000175167","PBAC","Education","5.83"
"000177702","PBAC","Education","2.50"
"000179561","PBAC","Extended Education","1.00"
"000179990","PBAC","Education","5.50"
"000181342","UGRD","Social Sciences","0.16"
"000184319","PBAC","Education","1.00"
"000184501","PBAC","Extended Education","0.16"
"000185658","PBAC","Science & Technology","1.66"
"000186321","PBAC","Social Sciences","4.00"
"000193640","PBAC","Education","3.16"
"000198437","PBAC","Education","4.00"
"000202246","PBAC","Science & Technology","9.50"
"000202831","PBAC","Science & Technology","0.33"
"000215649","PBAC","Social Sciences","7.33"
"000217248","UGRD","Arts and Humanities","4.66"
"000217248","UGRD","Social Sciences","0.16"
"000227063","UGRD","Arts and Humanities","1.50"
"000227492","PBAC","Social Sciences","2.00"
"000228948","PBAC","Education","0.50"
"000238217","PBAC","Arts and Humanities","0.33"
"000239543","PBAC","Social Sciences","3.50"
"000242182","UGRD","Arts and Humanities","0.16"
"000242182","UGRD","Social Sciences","2.00"
"000250762","PBAC","Education","0.16"
"000253141","PBAC","Extended Education","3.00"
"000260174","UGRD","Arts and Humanities","1.16"
"000260174","UGRD","Science & Technology","1.00"
"000271315","PBAC","Education","1.00"
"000280116","PBAC","Education","1.66"
"000283925","PBAC","Arts and Humanities","3.00"
"000283925","PBAC","Education","0.50"
"000291933","PBAC","Extended Education","1.50"
"000292193","UGRD","Science & Technology","5.33"
"000292193","UGRD","Social Sciences","0.50"
"000292830","UGRD","Education","0.50"
"000293779","UGRD","Education","0.50"
"000296340","PBAC","Extended Education","3.33"
"000307429","UGRD","Science & Technology","2.66"
"000307429","UGRD","Social Sciences","1.66"
"000316568","PBAC","Social Sciences","0.66"
"000318024","PBAC","Science & Technology","0.33"
"000320806","PBAC","Education","6.33"
"000325226","PBAC","Social Sciences","6.00"
"000325837","PBAC","Education","0.66"
"000326214","PBAC","Arts and Humanities","2.33"
"000326214","UGRD","Arts and Humanities","2.83"
"000326214","UGRD","Education","0.50"
"000326214","UGRD","Social Sciences","0.50"
"000345584","PBAC","Education","0.33"
"000351278","UGRD","Extended Education","1.66"
"000352188","PBAC","Arts and Humanities","1.83"
"000352188","PBAC","Social Sciences","0.66"
"000352188","PBAC","University-wide","0.66"
"000356075","PBAC","Extended Education","3.33"
"000358623","PBAC","Social Sciences","2.66"
"000359650","UGRD","Arts and Humanities","8.66"
"000359650","PBAC","Education","6.16"
"000359650","UGRD","Education","0.50"
"000368048","PBAC","Arts and Humanities","3.33"
"000368048","PBAC","Education","0.50"
"000368048","PBAC","Science & Technology","0.16"
"000368048","PBAC","Social Sciences","0.66"
"000368243","UGRD","Social Sciences","9.16"
"000377291","UGRD","Education","1.00"
"000377291","UGRD","Science & Technology","0.50"
"000377291","UGRD","Social Sciences","0.66"
"000380151","PBAC","Business and Economics","0.66"
"000392891","PBAC","Social Sciences","0.50"
"000401887","UGRD","Education","1.00"
"000401887","UGRD","Science & Technology","0.50"
"000401887","UGRD","Social Sciences","11.00"
"000405904","PBAC","Social Sciences","0.16"
"000411546","PBAC","Extended Education","0.10"
"000414406","UGRD","Science & Technology","1.83"
"000414406","UGRD","Social Sciences","0.16"
"000417708","UGRD","Arts and Humanities","0.16"
"000417708","UGRD","Business and Economics","5.33"
"000417708","UGRD","Social Sciences","1.50"
"000423415","PBAC","Social Sciences","3.33"
"000436870","UGRD","Extended Education","1.66"
"000438716","PBAC","Education","0.33"
"000451352","PBAC","Education","2.00"
"000452665","PBAC","Social Sciences","10.00"
"000455434","UGRD","Arts and Humanities","0.66"
"000455434","UGRD","Social Sciences","1.33"
"000464885","PBAC","Arts and Humanities","0.66"
"000465067","UGRD","Arts and Humanities","0.33"
"000468096","PBAC","Education","0.50"
"000468109","PBAC","Business and Economics","1.00"
"000478093","PBAC","Science & Technology","0.50"
